2.94,3.57,1.84
0.11,-1.06,0.89
-13.23,-25.64,-10.49
-28.75,-62.73,-19.03
-30.69,-74.38,-19.59
-23.09,-113,-31.82
-23.31,-135.76,-34.64
-22.52,-145.18,-39.4
-21.74,-154.3,-45.54
-20.48,-162.17,-46.21
-20.97,-165.04,-45.36
-26.33,-182.14,-46.21
-42.37,-190.74,-50.11
-67.94,-197.21,-52.41
-74,-198.68,-53.49
-81.65,-200.66,-53
-96.32,-204.57,-55.11
-97.21,-204.81,-55.24
-97.92,-205.01,-55.35
-102.55,-204.23,-55.48
-116.62,-205.91,-56.33
-122.18,-206.57,-56.67
-122.18,-206.57,-56.67
-122.3,-205.51,-56.68
-128.04,-196.83,-58.74
-128.96,-196.03,-58.78
-129.68,-195.5,-58.78
-129.9,-195.33,-58.7
-135.04,-187.35,-62.38
-135.57,-186.67,-62.38
-135.57,-186.67,-62.38
-134.83,-186.1,-62.38
-131.54,-183.34,-61.97
-131.54,-183.34,-61.97
-127.84,-180.23,-62.27
-124.59,-174.62,-62.19
-120.24,-165.29,-61.8
-118.38,-162.82,-61.69
-116.81,-160.73,-61.6
-116.81,-160.73,-61.6
-115.83,-159.44,-61.54
-115.83,-159.44,-61.54
-104.75,-149.28,-61.02
-96.03,-139.93,-60.8
-89.95,-128.42,-59.36
-120.73,-184.89,-58.5
-121.78,-186.09,-58.56
-124.98,-190.56,-58.66
-118.14,-181.9,-58.36
-120.73,-184.89,-58.5
-105.62,-164.04,-57.42
-106.91,-167.92,-57.48
-109.6,-172.06,-57.77
-114.05,-177.19,-58.12
-118.14,-181.9,-58.36
-105.62,-164.04,-57.42
-105.42,-163.43,-57.41
-93.67,-141.14,-59.4
-79.85,-122.33,-57.86
-107.06,-193.13,-56.14
-115.13,-199.11,-56.62
-100.44,-183.29,-55.96
-107.06,-193.13,-56.14
-92.38,-170.57,-55.77
-100.44,-183.29,-55.96
-92,-169.98,-55.76
-92.38,-170.57,-55.77
-83.89,-148.46,-55.67
-87.94,-163.58,-55.67
-92,-169.98,-55.76
-57.39,-107.47,-55.24
-57.64,-111.06,-55.3
-67.59,-129.29,-55.67
-83.68,-147.69,-55.67
-83.89,-148.46,-55.67
-97.16,-197.63,-55.65
-99.77,-200.89,-55.56
-82.43,-169.27,-55.67
-97.16,-197.63,-55.65
-70.18,-145.47,-55.67
-82.43,-169.27,-55.67
-59.04,-134.55,-55.67
-70.18,-145.47,-55.67
-131.54,-183.34,-61.97
-130.86,-183.89,-61.96
-128.14,-184.03,-60.98
-124.54,-184.26,-59.35
-121.54,-184.41,-58.51
-120.73,-184.89,-58.5
-115.83,-159.44,-61.54
-115.01,-159.87,-61.54
-113.15,-160.76,-60.35
-107.9,-163.18,-58.1
-106.46,-163.76,-57.43
-105.62,-164.04,-57.42
-118.14,-181.9,-58.36
-114.16,-182.06,-57.72
-104.97,-182.98,-56.37
-100.44,-183.29,-55.96
-105.62,-164.04,-57.42
-104.92,-164.74,-57.43
-101.81,-165.96,-57.3
-96.23,-168.73,-56.07
-92.38,-170.57,-55.77
-107.06,-193.13,-56.14
-106.29,-193.31,-56.15
-98.15,-197.39,-55.64
-97.16,-197.63,-55.65
-92,-169.98,-55.76
-91.23,-170.3,-55.77
-86.86,-170.05,-55.87
-83.56,-169.52,-55.67
-82.43,-169.27,-55.67
-83.89,-148.46,-55.67
-82.92,-148.37,-55.67
-78.39,-147.23,-56.17
-75.44,-146.66,-56.07
-71.19,-145.52,-55.67
-70.18,-145.47,-55.67
-141.76,-174.88,-65
-138.19,-172.56,-64.6
-134.26,-168.64,-64.41
-129.31,-163.7,-64.17
-125.19,-159.58,-63.96
-124.78,-159.19,-63.94
-124.78,-159.19,-63.94
-116.17,-149.32,-63.71
-135.57,-186.67,-62.38
-136.39,-186.24,-62.38
-138.42,-180.47,-63.59
-141.76,-174.88,-65
-124.78,-159.17,-63.94
-124.08,-159.78,-63.94
-117.54,-160.18,-61.6
-116.81,-160.73,-61.6
-141.76,-174.88,-65
-144.64,-168.75,-66.63
-147.52,-162.96,-67.69
-147.96,-162.34,-67.7
-150.09,-163.83,-67.66
-152.54,-165.56,-67.61
-154.22,-170.16,-67.53
-155.89,-174.75,-67.44
-122.18,-206.57,-56.67
-140.13,-208.72,-57.76
-146.64,-209.5,-58.16
-156.12,-209.81,-60.86
-165.28,-210.76,-61.89
-171.05,-211.21,-62.38
-171.05,-211.21,-62.38
-190.95,-212.77,-64.07
-192.69,-212.96,-64.03
-196.31,-213.36,-63.94
-200.52,-213.65,-64.79
-200.52,-213.65,-64.79
-218.87,-215.22,-66.52
-218.87,-215.22,-66.52
-225.76,-215.82,-67.07
-227.53,-216.2,-67.44
-234.32,-217.68,-68.8
-242.73,-216.62,-69.96
-258.24,-215.79,-71.71
-258.24,-215.79,-71.71
-268.49,-214.89,-68.64
-277.62,-214.09,-65.47
-287.39,-211.55,-66.72
-287.39,-211.55,-66.72
-296.87,-210.68,-67.8
-303.05,-210.13,-68.36
-135.57,-186.67,-62.38
-153.96,-200.97,-62.49
-170.73,-210.07,-62.36
-171.05,-211.21,-62.38
-154.44,-177.68,-65.57
-165.21,-190.54,-64.24
-177.03,-190.84,-64.71
-211.66,-207.58,-65.26
-218.4,-213.92,-66.49
-218.87,-215.22,-66.52
-200.52,-213.65,-64.79
-200.57,-212.73,-64.81
-194.08,-206.12,-64.65
-258.24,-215.79,-71.71
-258.83,-216.67,-71.56
-269.79,-222.82,-71.37
-271.72,-223.93,-71.29
-287.39,-211.55,-66.72
-287.81,-212.45,-66.76
-291.29,-215.04,-66.48